year,country,invoice_total,share_of_year
2002,CA,69504.87,0.703981
2002,US,29226.3,0.296019
2003,CA,48927.39,0.715562
2003,US,19448.81,0.284438
2004,US,40974.35,0.631364
2004,CA,23353.83,0.359853
2004,UNKNOWN,570.0,0.008783
2005,US,32456.2,0.516607
2005,CA,28310.02,0.450612
2005,UNKNOWN,2059.48,0.032781
2006,CA,248706.03,0.953481
2006,US,10453.45,0.040076
2006,UNKNOWN,1680.56,0.006443
2007,CA,182508.43,0.768899
2007,UNKNOWN,35256.79,0.148535
2007,US,19598.11,0.082566
2008,CA,165303.56,0.838571
2008,US,28163.06,0.142869
2008,UNKNOWN,3658.74,0.01856
2008,GB,0.0,0.0
2009,CA,269389.12,0.899209
2009,US,28483.07,0.095075
2009,UNKNOWN,1712.21,0.005715
2009,GB,0.0,0.0
2010,CA,247043.0,0.90142
2010,US,21063.84,0.076859
2010,UNKNOWN,5953.02,0.021722
2011,CA,243444.49,0.920933
2011,US,14022.32,0.053045
2011,UNKNOWN,6249.28,0.023641
2011,ES,180.0,0.000681
2011,MX,180.0,0.000681
2011,IE,135.0,0.000511
2011,OTHER,101.08,0.000382
2011,IL,33.39,0.000126
2012,CA,472158.8,0.778765
2012,UNKNOWN,116506.95,0.192163
2012,US,16825.8,0.027752
2012,ES,180.0,0.000297
2012,IE,180.0,0.000297
2012,IL,180.0,0.000297
2012,MX,180.0,0.000297
2012,OTHER,79.88,0.000132
2013,CA,1025484.54,0.94939
2013,UNKNOWN,43719.0,0.040475
2013,US,10220.26,0.009462
2013,ES,180.0,0.000167
2013,IE,180.0,0.000167
2013,MX,180.0,0.000167
2013,IL,120.0,0.000111
2013,OTHER,67.2,6.2e-05
2014,CA,1176563.52,0.914671
2014,GB,60119.31,0.046737
2014,UNKNOWN,34942.98,0.027165
2014,US,14076.15,0.010943
2014,OTHER,217.06,0.000169
2014,ES,180.0,0.00014
2014,MX,180.0,0.00014
2014,IE,45.0,3.5e-05
2015,CA,1193691.29,0.933555
2015,GB,58922.69,0.046082
2015,US,13628.5,0.010659
2015,UNKNOWN,12127.15,0.009484
2015,ES,180.0,0.000141
2015,OTHER,101.1,7.9e-05
2015,MA,0.0,0.0
2015,MX,0.0,0.0
2016,CA,1016134.04,0.964782
2016,US,12826.18,0.012178
2016,GB,12615.5,0.011978
2016,UNKNOWN,9117.91,0.008657
2016,OTHER,1883.7,0.001789
2016,CH,469.0,0.000445
2016,ES,180.0,0.000171
2017,CA,1051252.5,0.972578
2017,US,20670.14,0.019123
2017,UNKNOWN,8245.27,0.007628
2017,OTHER,334.95,0.00031
2017,ES,240.0,0.000222
2017,GB,149.5,0.000138
2018,CA,1141041.0,0.965949
2018,US,23154.06,0.019601
2018,UNKNOWN,16677.72,0.014119
2018,ES,320.0,0.000271
2018,OTHER,71.4,6e-05
2018,SE,0.0,0.0
2019,CA,1146163.58,0.971206
2019,UNKNOWN,18809.25,0.015938
2019,US,14771.78,0.012517
2019,ES,320.0,0.000271
2019,GB,80.0,6.8e-05
2019,OTHER,0.0,0.0
2020,CA,820361.02,0.925476
2020,US,58555.82,0.066059
2020,UNKNOWN,7477.48,0.008436
2020,OTHER,26.25,3e-05
2021,CA,774558.19,0.909922
2021,US,62738.52,0.073703
2021,UNKNOWN,12879.29,0.01513
2021,ES,1060.0,0.001245
2022,CA,734444.64,0.909293
2022,US,63179.38,0.07822
2022,UNKNOWN,9665.85,0.011967
2022,ES,420.0,0.00052
2023,CA,882085.19,0.924106
2023,US,63431.49,0.066453
2023,UNKNOWN,7680.58,0.008046
2023,GB,895.5,0.000938
2023,ES,435.0,0.000456
2024,CA,667103.23,0.896084
2024,US,60815.92,0.081691
2024,UNKNOWN,15140.68,0.020338
2024,GB,900.0,0.001209
2024,ES,469.94,0.000631
2024,OTHER,35.7,4.8e-05
2025,CA,1747959.45,0.939916
2025,US,101577.4,0.05462
2025,UNKNOWN,7793.33,0.004191
2025,GB,1880.0,0.001011
2025,ES,487.84,0.000262
2026,CA,232187.03,0.923107
2026,US,19263.06,0.076584
2026,GB,77.55,0.000308
2026,UNKNOWN,0.0,0.0
