year,invoice_band,invoice_rows,invoice_total,row_share,revenue_share
2002,1000-4999,17,38130.9,0.34,0.386209
2002,250-999,21,11589.91,0.42,0.117389
2002,5000+,6,48500.42,0.12,0.491237
2002,<250,6,509.94,0.12,0.005165
2003,1000-4999,14,30707.4,0.148936,0.449095
2003,250-999,32,15307.25,0.340426,0.223868
2003,5000+,3,16841.5,0.031915,0.246306
2003,<250,45,5520.05,0.478723,0.080731
2004,1000-4999,15,21635.65,0.095541,0.333378
2004,250-999,69,34950.59,0.43949,0.538545
2004,<250,73,8311.94,0.464968,0.128077
2005,1000-4999,16,28670.8,0.103896,0.456355
2005,250-999,48,25043.56,0.311688,0.39862
2005,<250,90,9111.34,0.584416,0.145026
2006,1000-4999,17,38704.08,0.10625,0.148382
2006,250-999,47,23774.43,0.29375,0.091146
2006,5000+,19,187519.43,0.11875,0.718906
2006,<250,77,10842.1,0.48125,0.041566
2007,1000-4999,27,61623.52,0.133005,0.259617
2007,250-999,64,36570.19,0.315271,0.154068
2007,5000+,15,126763.91,0.073892,0.53405
2007,<250,97,12405.7,0.477833,0.052265
2008,1000-4999,46,101532.92,0.169742,0.515068
2008,250-999,128,69571.57,0.472325,0.352931
2008,5000+,2,15424.5,0.00738,0.078247
2008,<250,95,10596.36,0.350554,0.053754
2009,1000-4999,71,114835.85,0.207602,0.383317
2009,250-999,128,75220.39,0.374269,0.251082
2009,5000+,10,94090.5,0.02924,0.31407
2009,<250,133,15437.66,0.388889,0.05153
2010,1000-4999,86,157377.84,0.249275,0.574246
2010,250-999,107,60495.47,0.310145,0.220738
2010,5000+,5,37577.05,0.014493,0.137113
2010,<250,147,18609.5,0.426087,0.067903
2011,1000-4999,67,121341.21,0.135903,0.459025
2011,250-999,127,70845.52,0.257606,0.268003
2011,5000+,7,44975.84,0.014199,0.17014
2011,<250,292,27182.99,0.592292,0.102831
2012,1000-4999,135,264786.65,0.167702,0.436732
2012,250-999,230,120001.37,0.285714,0.197927
2012,5000+,23,184930.97,0.028571,0.30502
2012,<250,417,36572.44,0.518012,0.060322
2013,1000-4999,178,352555.22,0.183505,0.326394
2013,250-999,261,134989.78,0.269072,0.124973
2013,5000+,34,554230.21,0.035052,0.513104
2013,<250,497,38375.8,0.512371,0.035528
2014,1000-4999,198,427769.09,0.172474,0.332552
2014,250-999,270,142913.6,0.235192,0.111102
2014,5000+,57,669119.17,0.049652,0.520179
2014,<250,623,46522.17,0.542683,0.036167
2015,1000-4999,233,533968.07,0.193682,0.417603
2015,250-999,289,150480.23,0.240233,0.117687
2015,5000+,69,550338.03,0.057357,0.430405
2015,<250,612,43864.4,0.508728,0.034305
2016,1000-4999,188,398345.45,0.17803,0.378214
2016,250-999,264,144113.0,0.25,0.13683
2016,5000+,57,468325.75,0.053977,0.444658
2016,<250,547,42442.12,0.517992,0.040297
2017,1000-4999,194,434453.75,0.207709,0.40194
2017,250-999,274,145792.82,0.293362,0.134882
2017,5000+,47,469643.89,0.050321,0.434496
2017,<250,419,31001.9,0.448608,0.028682
2018,1000-4999,209,453404.57,0.247924,0.38383
2018,250-999,229,124065.9,0.271649,0.105028
2018,5000+,67,575377.63,0.079478,0.487086
2018,<250,338,28416.08,0.400949,0.024056
2019,1000-4999,302,652788.93,0.31756,0.553143
2019,250-999,281,153671.3,0.295478,0.130214
2019,5000+,50,344733.75,0.052576,0.292111
2019,<250,318,28950.63,0.334385,0.024531
2020,1000-4999,224,479339.01,0.268263,0.540758
2020,250-999,250,129210.15,0.299401,0.145766
2020,5000+,33,244439.04,0.039521,0.27576
2020,<250,328,33432.37,0.392814,0.037716
2021,1000-4999,216,436161.65,0.238411,0.512386
2021,250-999,294,154485.07,0.324503,0.181483
2021,5000+,30,218789.15,0.033113,0.257025
2021,<250,366,41800.13,0.403974,0.049105
2022,1000-4999,196,397638.59,0.227642,0.492304
2022,250-999,267,132026.73,0.310105,0.163458
2022,5000+,37,235846.37,0.042973,0.291994
2022,<250,361,42198.18,0.41928,0.052244
2023,1000-4999,173,352712.0,0.210207,0.369515
2023,250-999,266,149109.83,0.323208,0.156213
2023,5000+,42,414092.65,0.051033,0.433819
2023,<250,342,38613.28,0.415553,0.040453
2024,1000-4999,183,365102.29,0.253112,0.490422
2024,250-999,211,108666.21,0.29184,0.145965
2024,5000+,30,237891.87,0.041494,0.319547
2024,<250,299,32805.1,0.413555,0.044065
2025,1000-4999,179,356338.19,0.226582,0.191611
2025,250-999,245,131942.07,0.310127,0.070948
2025,5000+,75,1336476.61,0.094937,0.718652
2025,<250,291,34941.15,0.368354,0.018789
2026,1000-4999,35,86390.7,0.324074,0.343464
2026,250-999,29,15701.41,0.268519,0.062424
2026,5000+,7,145296.28,0.064815,0.577655
2026,<250,37,4139.25,0.342593,0.016456
