cohort_year,customers,avg_active_years,avg_max_gap_days,avg_reactivations,reactivation_customer_share
2002,8,16.63,1669.63,1.38,0.75
2003,4,12.5,149.75,0.25,0.25
2004,5,2.8,45.0,0.0,0.0
2005,5,11.2,467.4,1.0,0.6
2006,10,7.1,583.1,1.1,0.5
2007,13,6.23,177.85,0.31,0.153846
2008,11,2.64,67.27,0.0,0.0
2009,12,3.67,331.25,0.42,0.166667
2010,13,5.0,280.15,0.46,0.153846
2011,33,5.3,263.58,0.39,0.30303
2012,28,6.82,292.61,0.57,0.321429
2013,41,3.73,386.24,0.34,0.243902
2014,43,3.51,187.44,0.23,0.162791
2015,44,3.5,268.93,0.3,0.25
2016,33,3.52,234.7,0.24,0.151515
2017,41,2.46,235.44,0.32,0.195122
2018,34,2.91,254.18,0.35,0.294118
2019,21,2.67,237.95,0.14,0.142857
2020,28,1.93,123.39,0.07,0.071429
2021,20,3.1,216.5,0.1,0.1
2022,15,3.53,186.33,0.07,0.066667
2023,15,2.47,167.93,0.07,0.066667
2024,16,1.81,104.56,0.0,0.0
2025,7,1.57,80.29,0.0,0.0
2026,2,1.0,13.0,0.0,0.0
