year,new_customers,retained_customers,reactivated_customers,new_revenue,retained_revenue,reactivated_revenue,churned_customers,churned_revenue_prev_year
2002,7,0,0,98731.17,,,0,0.0
2003,3,6,0,2615.12,65761.08,,1,49126.42
2004,5,8,0,2410.8,62487.38,,1,0.0
2005,5,9,0,3050.61,59775.09,,4,2154.0
2006,9,13,0,79980.47,180859.56,,1,500.0
2007,13,14,1,63774.11,173089.21,500.0,8,5244.13
2008,11,22,3,13778.81,183107.8,238.74,6,6546.34
2009,13,24,2,44418.67,254693.23,472.5,12,6430.68
2010,13,23,0,48751.41,225308.45,,16,35219.26
2011,33,28,2,63059.25,200705.17,581.14,8,8522.92
2012,28,47,3,278574.08,319175.82,8541.54,16,6188.48
2013,39,66,3,496215.59,573270.85,10664.56,12,123438.24
2014,41,84,7,180547.13,1104722.75,1054.14,24,47701.35
2015,43,96,4,264904.3,1011367.12,2379.31,36,278771.51
2016,34,102,3,128238.79,923624.54,1363.0,41,34846.59
2017,40,98,6,203357.95,874626.95,2907.46,41,57768.43
2018,34,89,3,322873.54,853029.18,5361.46,55,87565.66
2019,21,86,2,83716.06,1092302.1,4126.45,40,64929.57
2020,29,80,7,39394.09,836080.34,10946.14,29,44039.5
2021,22,81,15,80959.72,756091.83,14184.45,35,38664.91
2022,15,82,6,64928.25,741052.62,1729.0,36,47340.4
2023,15,84,6,84632.11,845051.08,24844.57,19,42560.99
2024,16,80,1,174855.73,569609.74,0.0,25,62747.36
2025,7,79,6,299864.69,1556425.67,3407.66,18,15640.55
2026,2,48,2,1877.21,247683.84,1966.59,44,227404.45
